"country","olympicMedalsByCountry_totAll","olympicMedalsByCountry_totGold","olympicMedalsByCountry_totSilv","olympicMedalsByCountry_totBrz"
"United States",2980,1180,959,841
"United Kingdom",948,296,320,332
"Germany",892,293,293,306
"France",874,258,289,327
"Italy",742,257,224,261
"China",696,275,227,194
"Sweden",661,205,222,234
"Australia",562,169,178,215
"Japan",555,183,172,200
"Russia",547,196,164,187
"Norway",528,192,176,160
"Canada",525,144,172,209
"Hungary",518,182,156,180
"Finland",472,144,148,180
"Netherlands",451,140,148,163
"Switzerland",358,109,124,125
"South Korea",357,127,116,114
"Austria",326,83,115,128
"Poland",320,79,96,145
"Romania",309,90,97,122
"Cuba",241,85,71,85
"Bulgaria",230,55,90,85
"Denmark",206,48,79,79
"Spain",171,49,72,50
"Belgium",161,44,56,61
"Brazil",150,37,42,71
"Ukraine",147,38,37,72
"New Zealand",140,53,34,53
"Greece",121,35,45,41
"Kenya",113,35,42,36
"Turkey",104,41,26,37
"Belarus",103,21,35,47
"Czech Republic",98,28,32,38
"South Africa",89,27,33,29
"Jamaica",87,26,36,25
"Kazakhstan",80,16,24,40
"Argentina",77,21,26,30
"Iran",76,24,23,29
"Mexico",73,13,24,36
"Ethiopia",58,23,12,23
"North Korea",56,16,17,23
"Croatia",52,18,19,15
"Azerbaijan",49,7,14,28
"Slovenia",45,10,14,21
"Estonia",43,14,11,18
"Slovakia",40,13,18,9
"Georgia",40,10,12,18
"Egypt",38,8,11,19
"Indonesia",37,8,14,15
"Uzbekistan",37,11,6,20
"India",35,10,9,16
"Thailand",35,10,8,17
"Ireland",35,11,10,14
"Colombia",34,5,13,16
"Mongolia",30,2,11,17
"Latvia",30,5,14,11
"Portugal",28,5,9,14
"Nigeria",27,3,11,13
"Lithuania",26,6,7,13
"Morocco",24,7,5,12
"Serbia",24,6,7,11
"Venezuela",19,3,7,9
"Trinidad and Tobago",19,3,5,11
"Armenia",18,2,8,8
"Algeria",17,5,4,8
"Bahamas",16,8,2,6
"Tunisia",15,5,3,7
"Philippines",14,1,5,8
"Malaysia",13,0,8,5
"Chile",13,2,7,4
"Israel",13,3,1,9
"Dominican Republic",12,3,5,4
"Uganda",11,4,4,3
"Pakistan",10,3,3,4
"Uruguay",10,2,2,6
"Puerto Rico",10,2,2,6
"Liechtenstein",10,2,2,6
"Hong Kong",9,2,3,4
"Zimbabwe",8,3,4,1
"Qatar",8,2,1,5
"Kyrgyzstan",7,0,3,4
"Cameroon",6,3,1,2
"Moldova",6,0,2,4
"Vietnam",5,1,3,1
"Ghana",5,0,1,4
"Ecuador",5,3,2,0
"Singapore",5,1,2,2
"Namibia",5,0,5,0
"Saudi Arabia",4,0,2,2
"Peru",4,1,3,0
"Ivory Coast",4,1,1,2
"Syria",4,1,1,2
"Tajikistan",4,1,1,2
"Lebanon",4,0,2,2
"Costa Rica",4,1,1,2
"Bahrain",4,2,2,0
"Luxembourg",4,1,3,0
"Iceland",4,0,2,2
"Jordan",3,1,1,1
"Panama",3,1,0,2
"Kuwait",3,0,0,3
"Fiji",3,2,0,1
"Grenada",3,1,1,1
"San Marino",3,0,1,2
"Tanzania",2,0,2,0
"Afghanistan",2,0,0,2
"Mozambique",2,1,0,1
"Niger",2,0,1,1
"Sri Lanka",2,0,2,0
"Zambia",2,0,1,1
"Burundi",2,1,1,0
"Haiti",2,0,1,1
"United Arab Emirates",2,1,0,1
"Botswana",2,0,1,1
"North Macedonia",2,0,1,1
"Suriname",2,1,0,1
"Bermuda",2,1,0,1
"Sudan",1,0,1,0
"Iraq",1,0,0,1
"Burkina Faso",1,0,0,1
"Guatemala",1,0,1,0
"Senegal",1,0,1,0
"Togo",1,0,0,1
"Paraguay",1,0,1,0
"Turkmenistan",1,0,1,0
"Eritrea",1,0,0,1
"Gabon",1,0,1,0
"Mauritius",1,0,0,1
"Cyprus",1,0,1,0
"Djibouti",1,0,0,1
"Guyana",1,0,0,1
"Montenegro",1,0,1,0
"Barbados",1,0,0,1
"Samoa",1,0,1,0
"Tonga",1,0,1,0
